id,uid,pid,suggestion_id,starttime,endtime,status
7372,8904,1293,1,2016-06-17 11:00:00,2016-06-17 11:50:00,2
7375,7190,1439,5,2016-06-17 09:00:00,2016-06-17 09:50:00,2
7384,3268,1304,1,2016-06-17 17:00:00,2016-06-17 17:50:00,2
7385,8107,1491,1,2016-06-17 15:00:00,2016-06-17 15:50:00,2
7389,8416,1520,1,2016-06-17 09:00:00,2016-06-17 09:30:00,2
7391,8342,1554,1,2016-06-17 11:00:00,2016-06-17 11:50:00,2
7394,6756,1464,1,2016-06-17 16:00:00,2016-06-17 17:00:00,2
7408,18,1534,1,2016-06-20 09:30:00,2016-06-20 10:20:00,2
7411,1749,1372,1,2016-06-13 15:00:00,2016-06-13 16:00:00,2
7414,9757,1351,5,2016-06-18 08:30:00,2016-06-18 09:30:00,2
